"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"1",1000,1,2.5,0,0,0
"2",1000,2,1.25,0,0,0
"3",1000,3,0.833333333333333,0,0,0
"4",1000,4,0.625,0,0,0
"5",1000,5,0.5,2.56674065832499,0.513348131664998,0.0032
"6",1000,6,0.416666666666667,51.6066486089862,8.6011081014977,0.0679
"7",1000,7,0.357142857142857,190.057069047951,27.151009863993,0.2032
"8",1000,8,0.3125,253.831609875155,31.7289512343944,0.3413
"9",1000,9,0.277777777777778,938.995226669625,104.332802963292,0.4645
"10",1000,10,0.25,1146.74869599388,114.674869599388,0.5596
"11",1000,11,0.227272727272727,1857.18522276121,168.835020251019,0.6211
"12",1000,12,0.208333333333333,2241.85753903428,186.82146158619,0.7002
"13",1000,13,0.192307692307692,2370.87626937723,182.375097644402,0.7288
"14",1000,14,0.178571428571429,2647.19775255419,189.085553753871,0.7711
"15",1000,15,0.166666666666667,2545.4575081921,169.697167212807,0.794
"16",1000,16,0.15625,3201.74482561629,200.109051601018,0.8294
"17",1000,17,0.147058823529412,3407.4449413218,200.437937724812,0.8454
"18",1000,18,0.138888888888889,3640.56384777337,202.25354709852,0.8645
"19",1000,19,0.131578947368421,3447.01387443477,181.421782864988,0.8749
"20",1000,20,0.125,3501.42467684277,175.071233842138,0.8759
"21",1000,1,2.5,0,0,0
"22",1000,2,1.25,0,0,0
"23",1000,3,0.833333333333333,0,0,0
"24",1000,4,0.625,0,0,0
"25",1000,5,0.5,2.04302567920003,0.408605135840006,0.0022
"26",1000,6,0.416666666666667,34.8314345625309,5.80523909375515,0.0564
"27",1000,7,0.357142857142857,175.618770445518,25.0883957779311,0.1956
"28",1000,8,0.3125,426.734685217302,53.3418356521627,0.3506
"29",1000,9,0.277777777777778,953.621032323336,105.957892480371,0.4529
"30",1000,10,0.25,1504.23590519979,150.423590519979,0.553
"31",1000,11,0.227272727272727,1757.52263983437,159.774785439488,0.6363
"32",1000,12,0.208333333333333,2275.48213021677,189.623510851397,0.6862
"33",1000,13,0.192307692307692,2629.61230515991,202.277869627685,0.7417
"34",1000,14,0.178571428571429,2653.67873480209,189.548481057292,0.7721
"35",1000,15,0.166666666666667,3130.41306033598,208.694204022399,0.7947
"36",1000,16,0.15625,2996.51575390974,187.282234619359,0.8196
"37",1000,17,0.147058823529412,3042.09575088577,178.946808875633,0.8456
"38",1000,18,0.138888888888889,3432.96431435518,190.720239686399,0.8632
"39",1000,19,0.131578947368421,3324.97407328226,174.998635435909,0.8789
"40",1000,20,0.125,3557.90143498682,177.895071749341,0.8829
"41",1000,1,2.5,0,0,0
"42",1000,2,1.25,0,0,0
"43",1000,3,0.833333333333333,0,0,0
"44",1000,4,0.625,0,0,0
"45",1000,5,0.5,1.80356850389693,0.360713700779385,0.0014
"46",1000,6,0.416666666666667,51.7694816864084,8.62824694773474,0.0629
"47",1000,7,0.357142857142857,134.773657537114,19.2533796481591,0.2023
"48",1000,8,0.3125,250.268375872843,31.2835469841054,0.3353
"49",1000,9,0.277777777777778,773.415673610634,85.935074845626,0.46
"50",1000,10,0.25,1351.90705183998,135.190705183998,0.5605
"51",1000,11,0.227272727272727,1614.39202027175,146.762910933796,0.6263
"52",1000,12,0.208333333333333,2292.83820020777,191.069850017314,0.6849
"53",1000,13,0.192307692307692,2393.53359592245,184.117968917112,0.7475
"54",1000,14,0.178571428571429,2441.27197446994,174.376569604996,0.7654
"55",1000,15,0.166666666666667,2602.8438468798,173.52292312532,0.7933
"56",1000,16,0.15625,2918.79732283189,182.424832676993,0.8273
"57",1000,17,0.147058823529412,3165.02133664,186.177725684706,0.8414
"58",1000,18,0.138888888888889,3086.70928319758,171.483849066532,0.8586
"59",1000,19,0.131578947368421,3357.07319312738,176.688062796178,0.8739
"60",1000,20,0.125,3703.02106120136,185.151053060068,0.8913
"61",1000,1,2.5,0,0,0
"62",1000,2,1.25,0,0,0
"63",1000,3,0.833333333333333,0,0,0
"64",1000,4,0.625,0,0,0
"65",1000,5,0.5,0,0,0
"66",1000,6,0.416666666666667,44.5134410802669,7.41890684671115,0.0673
"67",1000,7,0.357142857142857,177.673073109123,25.3818675870176,0.1968
"68",1000,8,0.3125,437.098102389411,54.6372627986764,0.3443
"69",1000,9,0.277777777777778,894.652214031741,99.4058015590823,0.4623
"70",1000,10,0.25,1168.30052616009,116.830052616009,0.5537
"71",1000,11,0.227272727272727,1733.75065360984,157.613695782713,0.6415
"72",1000,12,0.208333333333333,2154.08799834306,179.507333195255,0.6795
"73",1000,13,0.192307692307692,2476.09334645927,190.468718958406,0.7306
"74",1000,14,0.178571428571429,2245.12173588997,160.365838277855,0.7726
"75",1000,15,0.166666666666667,3027.56857722797,201.837905148531,0.7988
"76",1000,16,0.15625,2478.72920918295,154.920575573934,0.8247
"77",1000,17,0.147058823529412,3133.40060133924,184.31768243172,0.8304
"78",1000,18,0.138888888888889,3393.57718343268,188.53206574626,0.8539
"79",1000,19,0.131578947368421,2808.54153129056,147.817975331082,0.8785
"80",1000,20,0.125,3480.59245788637,174.029622894318,0.8899
"81",1000,1,2.5,0,0,0
"82",1000,2,1.25,0,0,0
"83",1000,3,0.833333333333333,0,0,0
"84",1000,4,0.625,0,0,0
"85",1000,5,0.5,1.31791803666731,0.263583607333463,0.0019
"86",1000,6,0.416666666666667,8.85658057059437,1.47609676176573,0.0406
"87",1000,7,0.357142857142857,165.476438805705,23.6394912579578,0.1979
"88",1000,8,0.3125,339.371579980769,42.4214474975962,0.3423
"89",1000,9,0.277777777777778,773.500376646128,85.9444862940143,0.4776
"90",1000,10,0.25,1438.18621134615,143.818621134615,0.5505
"91",1000,11,0.227272727272727,1785.79478541636,162.344980492396,0.6208
"92",1000,12,0.208333333333333,2369.37329120443,197.447774267036,0.7011
"93",1000,13,0.192307692307692,1906.56953684071,146.659195141593,0.7345
"94",1000,14,0.178571428571429,2522.43364307313,180.173831648081,0.7694
"95",1000,15,0.166666666666667,2879.31315169667,191.954210113111,0.7881
"96",1000,16,0.15625,2713.87071996453,169.616919997783,0.8357
"97",1000,17,0.147058823529412,3293.54291015971,193.737818244689,0.8373
"98",1000,18,0.138888888888889,3495.91334825054,194.217408236141,0.8627
"99",1000,19,0.131578947368421,3539.18710632846,186.273005596235,0.8724
"100",1000,20,0.125,3088.03610034122,154.401805017061,0.8853
"101",1000,1,2.5,0,0,0
"102",1000,2,1.25,0,0,0
"103",1000,3,0.833333333333333,0,0,0
"104",1000,4,0.625,0,0,0
"105",1000,5,0.5,4.21935792634901,0.843871585269803,0.001
"106",1000,6,0.416666666666667,49.1618130462547,8.19363550770911,0.0623
"107",1000,7,0.357142857142857,145.874015542663,20.8391450775233,0.1895
"108",1000,8,0.3125,553.29548006391,69.1619350079887,0.3544
"109",1000,9,0.277777777777778,938.863590742685,104.318176749187,0.4613
"110",1000,10,0.25,1450.48496737277,145.048496737277,0.5515
"111",1000,11,0.227272727272727,1729.44948737108,157.222680670099,0.622
"112",1000,12,0.208333333333333,2071.78624418103,172.648853681753,0.7
"113",1000,13,0.192307692307692,2657.84444931324,204.449573024095,0.7323
"114",1000,14,0.178571428571429,2817.21915451135,201.229939607953,0.7775
"115",1000,15,0.166666666666667,2848.00800214277,189.867200142851,0.8059
"116",1000,16,0.15625,3124.9994297743,195.312464360894,0.8282
"117",1000,17,0.147058823529412,3365.22362636033,197.954330962373,0.847
"118",1000,18,0.138888888888889,3237.77267970812,179.876259983784,0.8592
"119",1000,19,0.131578947368421,3431.33412304798,180.596532791999,0.8734
"120",1000,20,0.125,3612.38965544182,180.619482772091,0.8893
"121",1000,1,2.5,0,0,0
"122",1000,2,1.25,0,0,0
"123",1000,3,0.833333333333333,0,0,0
"124",1000,4,0.625,0,0,0
"125",1000,5,0.5,2.00939167593497,0.401878335186994,0.0017
"126",1000,6,0.416666666666667,46.0250006737421,7.67083344562368,0.0634
"127",1000,7,0.357142857142857,243.652840053468,34.8075485790669,0.2041
"128",1000,8,0.3125,472.344904172311,59.0431130215388,0.3369
"129",1000,9,0.277777777777778,618.209542790776,68.6899491989751,0.4758
"130",1000,10,0.25,1660.51879996138,166.051879996138,0.5694
"131",1000,11,0.227272727272727,1794.2963369365,163.117848812409,0.6332
"132",1000,12,0.208333333333333,2206.33082456634,183.860902047195,0.6873
"133",1000,13,0.192307692307692,2578.50902776357,198.346848289506,0.7319
"134",1000,14,0.178571428571429,2735.47349841077,195.390964172198,0.7697
"135",1000,15,0.166666666666667,2986.62643671349,199.108429114233,0.7951
"136",1000,16,0.15625,3156.87746956988,197.304841848117,0.8234
"137",1000,17,0.147058823529412,2927.81034093522,172.224137702072,0.8499
"138",1000,18,0.138888888888889,3241.79549788119,180.099749882288,0.856
"139",1000,19,0.131578947368421,3201.65634219661,168.508228536664,0.8739
"140",1000,20,0.125,2981.22036976004,149.061018488002,0.8909
"141",1000,1,2.5,0,0,0
"142",1000,2,1.25,0,0,0
"143",1000,3,0.833333333333333,0,0,0
"144",1000,4,0.625,0,0,0
"145",1000,5,0.5,1.3670396282538,0.273407925650759,0.0019
"146",1000,6,0.416666666666667,32.1603496236102,5.3600582706017,0.0608
"147",1000,7,0.357142857142857,289.510793754931,41.3586848221329,0.2045
"148",1000,8,0.3125,367.30819976376,45.91352497047,0.3424
"149",1000,9,0.277777777777778,905.240595016796,100.5822883352,0.4693
"150",1000,10,0.25,1540.99781799837,154.099781799837,0.5574
"151",1000,11,0.227272727272727,1973.87334216608,179.443031106008,0.6338
"152",1000,12,0.208333333333333,2162.36838861312,180.19736571776,0.6872
"153",1000,13,0.192307692307692,2358.43009347257,181.41769949789,0.7381
"154",1000,14,0.178571428571429,2776.81971748745,198.344265534818,0.7758
"155",1000,15,0.166666666666667,2796.8834822939,186.458898819593,0.7924
"156",1000,16,0.15625,3172.65128843385,198.290705527116,0.8285
"157",1000,17,0.147058823529412,3328.34276215526,195.784868362074,0.8469
"158",1000,18,0.138888888888889,3282.34211482231,182.35233971235,0.8547
"159",1000,19,0.131578947368421,3608.76769052083,189.935141606359,0.8751
"160",1000,20,0.125,3398.67055776337,169.933527888169,0.8894
"161",1000,1,2.5,0,0,0
"162",1000,2,1.25,0,0,0
"163",1000,3,0.833333333333333,0,0,0
"164",1000,4,0.625,0,0,0
"165",1000,5,0.5,2.31660704310723,0.463321408621445,0.003
"166",1000,6,0.416666666666667,37.4016670632194,6.23361117720323,0.0693
"167",1000,7,0.357142857142857,61.5433577632171,8.79190825188816,0.1784
"168",1000,8,0.3125,457.569546303058,57.1961932878823,0.3398
"169",1000,9,0.277777777777778,966.824603811529,107.424955979059,0.4625
"170",1000,10,0.25,1400.90691692012,140.090691692012,0.546
"171",1000,11,0.227272727272727,1728.68105847522,157.152823497747,0.6154
"172",1000,12,0.208333333333333,2037.20524347303,169.767103622752,0.688
"173",1000,13,0.192307692307692,1713.64102942321,131.818540724862,0.735
"174",1000,14,0.178571428571429,2513.66999142686,179.54785653049,0.7812
"175",1000,15,0.166666666666667,2953.09892001811,196.873261334541,0.8038
"176",1000,16,0.15625,3025.03477802221,189.064673626388,0.8257
"177",1000,17,0.147058823529412,2908.09632161988,171.064489507052,0.8432
"178",1000,18,0.138888888888889,2955.95422666342,164.219679259079,0.8556
"179",1000,19,0.131578947368421,3557.90699559219,187.258262925905,0.8768
"180",1000,20,0.125,3610.06880974431,180.503440487215,0.8885
"181",1000,1,2.5,0,0,0
"182",1000,2,1.25,0,0,0
"183",1000,3,0.833333333333333,0,0,0
"184",1000,4,0.625,0,0,0
"185",1000,5,0.5,1.92790694070031,0.385581388140061,3e-04
"186",1000,6,0.416666666666667,30.4427294667867,5.07378824446445,0.0402
"187",1000,7,0.357142857142857,158.549451512307,22.6499216446154,0.1919
"188",1000,8,0.3125,290.889714843491,36.3612143554364,0.3259
"189",1000,9,0.277777777777778,923.583634389109,102.620403821012,0.4587
"190",1000,10,0.25,1430.21825593026,143.021825593026,0.5582
"191",1000,11,0.227272727272727,1823.42038696654,165.765489724231,0.629
"192",1000,12,0.208333333333333,2230.38789888914,185.865658240762,0.6855
"193",1000,13,0.192307692307692,2630.74468195633,202.364975535102,0.7414
"194",1000,14,0.178571428571429,2740.27516039908,195.733940028506,0.7749
"195",1000,15,0.166666666666667,3145.3584914965,209.690566099767,0.8062
"196",1000,16,0.15625,2347.26159456268,146.703849660167,0.8166
"197",1000,17,0.147058823529412,2912.67434080146,171.333784753027,0.8414
"198",1000,18,0.138888888888889,3278.08645328246,182.115914071248,0.867
"199",1000,19,0.131578947368421,3542.25436783762,186.434440412506,0.8762
"200",1000,20,0.125,3438.46703425158,171.923351712579,0.8889
